config,sex,age,body_type,load_kg,motion,lumbar_bio_peak,lumbar_loaded_peak,shoulder_bio_peak,shoulder_total_peak,elbow_bio_peak,elbow_total_peak
back_only,male,young,slim,20,neutral_stoop_down_R_001__A078,105.02369587000001,128.02369587,36.916704245,36.916704245,52.09603168500001,52.09603168500001
back_only,male,young,slim,20,neutral_stoop_down_R_001__A080,111.14272464999999,134.14272465,44.733810590000004,44.733810590000004,53.162694465,53.162694465
back_only,male,young,slim,20,neutral_stoop_down_R_001__A081,107.54373122000001,130.54373122,36.83441077,36.83441077,51.781502365,51.781502365
back_only,male,young,slim,20,neutral_stoop_down_R_002__A082,81.21958912,104.21958912,42.9064834,42.9064834,53.203465310000006,53.203465310000006
back_only,male,young,slim,30,neutral_stoop_down_R_002__A073,220.94131077999998,243.94131077999998,60.497916315000005,60.497916315000005,77.8931153,77.8931153
back_only,male,young,slim,30,neutral_stoop_down_R_002__A079,107.3749,130.3749,57.160249865000004,57.160249865000004,77.35807274,77.35807274
back_only,male,young,slim,30,neutral_stoop_down_R_002__A074,152.26701777,175.26701777,56.089543135,56.089543135,77.53966294,77.53966294
back_only,male,young,slim,30,neutral_stoop_down_R_002__A075,200.98959879,223.98959879,52.636956690000005,52.636956690000005,76.369671645,76.369671645
back_only,male,young,slim,30,neutral_stoop_down_R_002__A076,184.20951214000002,207.20951214000002,57.47341981,57.47341981,78.112436185,78.112436185
back_only,male,young,slim,30,neutral_stoop_down_R_001__A077,209.1244074,232.1244074,69.678183155,69.678183155,82.70041297,82.70041297
back_only,male,young,slim,30,neutral_stoop_down_R_001__A078,148.48199587,171.48199587,51.631704245,51.631704245,76.621031685,76.621031685
back_only,male,young,slim,30,neutral_stoop_down_R_001__A080,154.60102465,177.60102465,59.44881059000001,59.44881059000001,77.687694465,77.687694465
back_only,male,young,slim,30,neutral_stoop_down_R_001__A081,151.00203122,174.00203122,51.54941077,51.54941077,76.306502365,76.306502365
back_only,male,young,slim,30,neutral_stoop_down_R_002__A082,124.67788912,147.67788912,57.6214834,57.6214834,77.72846531,77.72846531
